Description,Inside/Outside,Weapon,Latitude,Longitude,HourBin,cluster
COMMON ASSAULT,Inside,HANDS,39.31348,-76.60983,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.28048,-76.649,Afternoon,31
COMMON ASSAULT,Outside,HANDS,39.3591,-76.60343,Afternoon,5
AGG. ASSAULT,Outside,HANDS,39.2942,-76.67282,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.29104,-76.70729,Evening,8
AGG. ASSAULT,Outside,OTHER,39.2992,-76.57373,Evening,10
COMMON ASSAULT,Inside,HANDS,39.34861,-76.67511,Evening,8
COMMON ASSAULT,Inside,HANDS,39.30839,-76.63652,Evening,8
RAPE,Inside,OTHER,39.22362,-76.59108,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.27889,-76.54294,Evening,9
AGG. ASSAULT,Outside,OTHER,39.2296,-76.60521,Evening,63
COMMON ASSAULT,Outside,HANDS,39.28316,-76.57795,Evening,11
COMMON ASSAULT,Outside,HANDS,39.28316,-76.57795,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.28584,-76.55727,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.28584,-76.55727,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.28584,-76.55727,Evening,9
AGG. ASSAULT,Inside,FIREARM,39.27254,-76.53081,Evening,-1
AGG. ASSAULT,Inside,FIREARM,39.27254,-76.53081,Evening,-1
AGG. ASSAULT,Inside,HANDS,39.32609,-76.59152,Evening,19
COMMON ASSAULT,Inside,HANDS,39.31796,-76.56896,Evening,8
COMMON ASSAULT,Inside,HANDS,39.31796,-76.56896,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.27795,-76.65867,Night,4
ROBBERY - STREET,Outside,OTHER,39.29233,-76.61401,Night,69
AGG. ASSAULT,Outside,KNIFE,39.30744,-76.59632,Night,4
COMMON ASSAULT,Outside,HANDS,39.34221,-76.68251,Night,26
COMMON ASSAULT,Outside,HANDS,39.29542,-76.63197,Night,26
AGG. ASSAULT,Outside,FIREARM,39.27889,-76.54294,Night,-1
AGG. ASSAULT,Outside,FIREARM,39.27889,-76.54294,Night,-1
COMMON ASSAULT,Outside,HANDS,39.28582,-76.64287,Night,26
ROBBERY - STREET,Outside,FIREARM,39.34877,-76.59642,Night,2
AGG. ASSAULT,Outside,OTHER,39.28036,-76.57532,Night,3
AGG. ASSAULT,Outside,OTHER,39.28036,-76.57532,Night,3
COMMON ASSAULT,Inside,HANDS,39.35711,-76.71083,Night,0
AGG. ASSAULT,Outside,KNIFE,39.27598,-76.61139,Night,4
COMMON ASSAULT,Outside,HANDS,39.27598,-76.61139,Night,26
AGG. ASSAULT,Outside,KNIFE,39.27598,-76.61139,Night,4
ROBBERY - STREET,Outside,KNIFE,39.28491,-76.6235,Night,48
RAPE,Inside,OTHER,39.34977,-76.69573,Morning,-1
RAPE,Inside,OTHER,39.30116,-76.57798,Morning,-1
ROBBERY - STREET,Inside,OTHER,39.28632,-76.59545,Morning,-1
COMMON ASSAULT,Outside,HANDS,39.30144,-76.62516,Morning,13
RAPE,Inside,OTHER,39.31736,-76.617,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.34921,-76.68,Afternoon,5
AGG. ASSAULT,Inside,OTHER,39.30767,-76.59074,Afternoon,22
AGG. ASSAULT,Outside,OTHER,39.30621,-76.58137,Afternoon,16
COMMON ASSAULT,Outside,HANDS,39.31818,-76.61699,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.33916,-76.60343,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28743,-76.62957,Evening,8
ROBBERY - RESIDENCE,Inside,FIREARM,39.28743,-76.62957,Evening,72
COMMON ASSAULT,Inside,HANDS,39.32829,-76.60813,Evening,8
COMMON ASSAULT,Inside,HANDS,39.3459,-76.66416,Evening,8
AGG. ASSAULT,Inside,FIREARM,39.3202,-76.55879,Evening,-1
AGG. ASSAULT,Inside,OTHER,39.32822,-76.61095,Evening,18
AGG. ASSAULT,Outside,KNIFE,39.28172,-76.63194,Evening,17
ROBBERY - STREET,Outside,FIREARM,39.33105,-76.668,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.33105,-76.668,Evening,9
COMMON ASSAULT,Inside,HANDS,39.31228,-76.59225,Evening,8
COMMON ASSAULT,Inside,HANDS,39.31978,-76.55197,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.32341,-76.57117,Evening,9
AGG. ASSAULT,Outside,KNIFE,39.29308,-76.64274,Evening,17
COMMON ASSAULT,Outside,HANDS,39.31192,-76.64317,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.31333,-76.66342,Evening,9
ROBBERY - COMMERCIAL,Inside,FIREARM,39.35297,-76.60977,Night,-1
COMMON ASSAULT,Outside,HANDS,39.28418,-76.57806,Night,26
COMMON ASSAULT,Inside,HANDS,39.28826,-76.54003,Night,0
COMMON ASSAULT,Outside,HANDS,39.3133,-76.64624,Night,26
AGG. ASSAULT,Outside,KNIFE,39.28665,-76.5558,Night,4
COMMON ASSAULT,Outside,HANDS,39.35743,-76.60974,Night,26
COMMON ASSAULT,Outside,HANDS,39.35743,-76.60974,Night,26
COMMON ASSAULT,Outside,HANDS,39.28661,-76.61133,Night,26
ROBBERY - STREET,Outside,FIREARM,39.28953,-76.61232,Night,2
COMMON ASSAULT,Outside,HANDS,39.28918,-76.62768,Night,26
COMMON ASSAULT,Inside,HANDS,39.30442,-76.59795,Night,0
COMMON ASSAULT,Inside,HANDS,39.31474,-76.56529,Night,0
COMMON ASSAULT,Inside,HANDS,39.32628,-76.55083,Night,0
COMMON ASSAULT,Inside,HANDS,39.27722,-76.54074,Night,0
ROBBERY - STREET,Outside,FIREARM,39.28531,-76.60019,Night,2
COMMON ASSAULT,Outside,HANDS,39.32286,-76.6074,Night,26
ROBBERY - COMMERCIAL,Inside,FIREARM,39.32304,-76.60948,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.29969,-76.62505,Morning,1
COMMON ASSAULT,Outside,HANDS,39.31119,-76.64019,Morning,13
AGG. ASSAULT,Inside,FIREARM,39.27974,-76.68547,Morning,-1
AGG. ASSAULT,Inside,OTHER,39.29337,-76.60784,Morning,15
COMMON ASSAULT,Inside,HANDS,39.32782,-76.60939,Morning,1
COMMON ASSAULT,Outside,HANDS,39.30596,-76.58135,Morning,13
COMMON ASSAULT,Outside,HANDS,39.2959,-76.68787,Morning,-1
COMMON ASSAULT,Outside,HANDS,39.2959,-76.68787,Morning,-1
AGG. ASSAULT,Outside,OTHER,39.3044,-76.60363,Afternoon,16
COMMON ASSAULT,Inside,HANDS,39.29244,-76.57149,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.31091,-76.67523,Afternoon,-1
AGG. ASSAULT,Outside,FIREARM,39.30111,-76.64602,Afternoon,31
COMMON ASSAULT,Inside,HANDS,39.28706,-76.55422,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.31119,-76.61155,Afternoon,23
AGG. ASSAULT,Inside,KNIFE,39.29157,-76.6211,Afternoon,23
AGG. ASSAULT,Inside,OTHER,39.29157,-76.6211,Afternoon,22
COMMON ASSAULT,Outside,HANDS,39.28665,-76.59331,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.29024,-76.59033,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.2927,-76.57696,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.30124,-76.62973,Evening,9
COMMON ASSAULT,Outside,HANDS,39.34223,-76.63994,Evening,11
COMMON ASSAULT,Inside,HANDS,39.25244,-76.64146,Evening,8
AGG. ASSAULT,Outside,OTHER,39.24193,-76.62766,Evening,10
AGG. ASSAULT,Outside,OTHER,39.24193,-76.62766,Evening,10
AGG. ASSAULT,Outside,OTHER,39.24193,-76.62766,Evening,10
COMMON ASSAULT,Inside,HANDS,39.29638,-76.5729,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.29811,-76.64586,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.29811,-76.64586,Afternoon,5
ROBBERY - COMMERCIAL,Inside,FIREARM,39.32222,-76.54716,Afternoon,-1
RAPE,Outside,OTHER,39.23309,-76.60332,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.3099,-76.62809,Evening,11
COMMON ASSAULT,Inside,HANDS,39.30384,-76.60798,Night,0
COMMON ASSAULT,Inside,HANDS,39.31199,-76.60837,Night,0
AGG. ASSAULT,Outside,HANDS,39.285,-76.61309,Night,45
AGG. ASSAULT,Outside,KNIFE,39.32271,-76.58978,Night,4
COMMON ASSAULT,Outside,HANDS,39.32363,-76.56419,Night,26
ROBBERY - STREET,Outside,OTHER,39.29021,-76.59374,Night,-1
ROBBERY - STREET,Outside,OTHER,39.29021,-76.59374,Night,-1
COMMON ASSAULT,Outside,HANDS,39.36292,-76.60999,Night,26
AGG. ASSAULT,Outside,FIREARM,39.2297,-76.59956,Night,-1
COMMON ASSAULT,Inside,HANDS,39.28486,-76.61341,Night,0
COMMON ASSAULT,Inside,HANDS,39.29544,-76.58745,Night,0
COMMON ASSAULT,Inside,HANDS,39.36006,-76.59704,Night,0
ROBBERY - STREET,Inside,FIREARM,39.32311,-76.60762,Morning,-1
ROBBERY - STREET,Inside,FIREARM,39.32311,-76.60762,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.31645,-76.54327,Morning,1
COMMON ASSAULT,Outside,HANDS,39.28063,-76.68212,Morning,-1
COMMON ASSAULT,Outside,HANDS,39.28063,-76.68212,Morning,-1
ROBBERY - COMMERCIAL,Inside,OTHER,39.28352,-76.6467,Morning,-1
ROBBERY - RESIDENCE,Inside,FIREARM,39.31634,-76.68785,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.34508,-76.59938,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.3229,-76.57199,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.2945,-76.66501,Afternoon,5
AGG. ASSAULT,Outside,KNIFE,39.35627,-76.7027,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.35627,-76.7027,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.35448,-76.66237,Evening,8
COMMON ASSAULT,Outside,HANDS,39.34302,-76.66916,Evening,11
COMMON ASSAULT,Inside,HANDS,39.30537,-76.5763,Evening,8
COMMON ASSAULT,Outside,HANDS,39.26179,-76.66532,Evening,11
COMMON ASSAULT,Inside,HANDS,39.34302,-76.66916,Evening,8
COMMON ASSAULT,Outside,HANDS,39.35285,-76.59852,Evening,11
COMMON ASSAULT,Inside,HANDS,39.36116,-76.71038,Evening,8
COMMON ASSAULT,Inside,HANDS,39.30003,-76.64051,Evening,8
COMMON ASSAULT,Outside,HANDS,39.29554,-76.66348,Morning,13
AGG. ASSAULT,Inside,KNIFE,39.31218,-76.61703,Morning,44
AGG. ASSAULT,Inside,OTHER,39.29289,-76.61252,Morning,15
COMMON ASSAULT,Inside,HANDS,39.28978,-76.653,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.32667,-76.5621,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.2894,-76.60669,Night,0
COMMON ASSAULT,Inside,HANDS,39.27475,-76.69944,Night,0
COMMON ASSAULT,Inside,HANDS,39.31107,-76.61449,Night,0
AGG. ASSAULT,Outside,OTHER,39.31488,-76.60952,Night,3
ROBBERY - STREET,Outside,FIREARM,39.28561,-76.62765,Night,2
ROBBERY - COMMERCIAL,Outside,FIREARM,39.32342,-76.64684,Night,-1
AGG. ASSAULT,Inside,FIREARM,39.22337,-76.58669,Morning,-1
AGG. ASSAULT,Inside,OTHER,39.30465,-76.63178,Afternoon,22
AGG. ASSAULT,Inside,OTHER,39.34724,-76.6755,Afternoon,22
AGG. ASSAULT,Outside,OTHER,39.29866,-76.58776,Afternoon,16
COMMON ASSAULT,Inside,HANDS,39.30544,-76.64369,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.28849,-76.64101,Evening,17
COMMON ASSAULT,Outside,HANDS,39.27686,-76.61429,Evening,11
ROBBERY - COMMERCIAL,Inside,FIREARM,39.29963,-76.53738,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.32954,-76.56541,Evening,11
AGG. ASSAULT,Inside,FIREARM,39.30416,-76.63824,Evening,24
COMMON ASSAULT,Inside,HANDS,39.32829,-76.60813,Evening,8
AGG. ASSAULT,Outside,OTHER,39.28927,-76.57309,Evening,10
ROBBERY - STREET,Outside,FIREARM,39.29266,-76.66485,Evening,9
COMMON ASSAULT,Outside,HANDS,39.28077,-76.64895,Evening,11
COMMON ASSAULT,Inside,HANDS,39.33607,-76.66251,Evening,8
AGG. ASSAULT,Inside,KNIFE,39.30732,-76.6455,Night,36
AGG. ASSAULT,Inside,OTHER,39.32236,-76.55572,Night,32
COMMON ASSAULT,Outside,HANDS,39.23353,-76.5984,Night,49
ROBBERY - STREET,Outside,FIREARM,39.31634,-76.67696,Night,2
ROBBERY - STREET,Outside,FIREARM,39.30042,-76.66529,Night,2
COMMON ASSAULT,Inside,HANDS,39.35868,-76.57564,Night,0
COMMON ASSAULT,Inside,HANDS,39.28457,-76.70164,Night,0
COMMON ASSAULT,Inside,HANDS,39.28457,-76.70164,Night,0
ROBBERY - STREET,Outside,FIREARM,39.28566,-76.67234,Night,2
COMMON ASSAULT,Outside,HANDS,39.32514,-76.65761,Morning,13
COMMON ASSAULT,Outside,HANDS,39.32514,-76.65761,Morning,13
COMMON ASSAULT,Outside,HANDS,39.32514,-76.65761,Morning,13
AGG. ASSAULT,Inside,OTHER,39.30204,-76.63285,Morning,15
COMMON ASSAULT,Inside,HANDS,39.28596,-76.55023,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28596,-76.55023,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30587,-76.67216,Afternoon,7
AGG. ASSAULT,Outside,OTHER,39.25902,-76.5316,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.33425,-76.67113,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.36969,-76.598,Afternoon,7
AGG. ASSAULT,Inside,FIREARM,39.28486,-76.61341,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.31912,-76.64257,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.2965,-76.67409,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.28288,-76.64981,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.22454,-76.5868,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.31264,-76.58374,Afternoon,5
AGG. ASSAULT,Outside,FIREARM,39.29611,-76.57135,Afternoon,31
COMMON ASSAULT,Inside,HANDS,39.35434,-76.55243,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.3074,-76.66144,Evening,21
COMMON ASSAULT,Inside,HANDS,39.3094,-76.65631,Evening,8
AGG. ASSAULT,Inside,KNIFE,39.30767,-76.63313,Evening,12
AGG. ASSAULT,Outside,KNIFE,39.22835,-76.58764,Evening,-1
ROBBERY - COMMERCIAL,Inside,FIREARM,39.35929,-76.70662,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.32465,-76.5886,Evening,8
AGG. ASSAULT,Outside,OTHER,39.29254,-76.6135,Evening,10
COMMON ASSAULT,Inside,HANDS,39.30512,-76.64344,Evening,8
COMMON ASSAULT,Outside,HANDS,39.28976,-76.61015,Evening,11
AGG. ASSAULT,Outside,KNIFE,39.29706,-76.6669,Evening,17
COMMON ASSAULT,Inside,HANDS,39.28783,-76.6118,Night,0
COMMON ASSAULT,Inside,HANDS,39.29926,-76.57811,Night,0
AGG. ASSAULT,Outside,KNIFE,39.32472,-76.60938,Night,4
COMMON ASSAULT,Inside,HANDS,39.31336,-76.60424,Night,0
COMMON ASSAULT,Inside,HANDS,39.34664,-76.60654,Night,0
COMMON ASSAULT,Outside,HANDS,39.28939,-76.65036,Morning,13
AGG. ASSAULT,Inside,KNIFE,39.23616,-76.60174,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.2868,-76.59718,Morning,1
COMMON ASSAULT,Inside,HANDS,39.32363,-76.56419,Afternoon,7
ROBBERY - COMMERCIAL,Inside,FIREARM,39.36811,-76.56662,Afternoon,-1
AGG. ASSAULT,Inside,OTHER,39.33074,-76.53173,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.36332,-76.69852,Afternoon,7
ROBBERY - COMMERCIAL,Inside,FIREARM,39.29152,-76.56484,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.30775,-76.64149,Evening,9
AGG. ASSAULT,Inside,OTHER,39.2965,-76.67409,Evening,18
COMMON ASSAULT,Inside,HANDS,39.30311,-76.57913,Evening,8
RAPE,Inside,OTHER,39.35163,-76.56077,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.33774,-76.55215,Evening,8
ROBBERY - RESIDENCE,Inside,FIREARM,39.34022,-76.67096,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.33774,-76.55215,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.31188,-76.6505,Evening,9
AGG. ASSAULT,Inside,KNIFE,39.29007,-76.5938,Evening,12
AGG. ASSAULT,Outside,HANDS,39.31531,-76.5754,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.30649,-76.64085,Evening,9
AGG. ASSAULT,Outside,FIREARM,39.30932,-76.66249,Morning,-1
AGG. ASSAULT,Inside,FIREARM,39.30932,-76.66249,Night,-1
COMMON ASSAULT,Inside,HANDS,39.30189,-76.669,Night,0
COMMON ASSAULT,Inside,HANDS,39.31345,-76.64132,Night,0
ROBBERY - RESIDENCE,Inside,FIREARM,39.34342,-76.64464,Night,-1
ROBBERY - STREET,Outside,OTHER,39.29749,-76.62074,Night,69
AGG. ASSAULT,Outside,OTHER,39.28439,-76.59359,Night,3
COMMON ASSAULT,Outside,HANDS,39.28439,-76.59359,Night,26
AGG. ASSAULT,Outside,FIREARM,39.30372,-76.6443,Night,33
AGG. ASSAULT,Inside,KNIFE,39.30014,-76.67022,Night,36
COMMON ASSAULT,Outside,HANDS,39.34694,-76.60854,Night,26
AGG. ASSAULT,Inside,FIREARM,39.30173,-76.65444,Morning,-1
AGG. ASSAULT,Outside,KNIFE,39.30528,-76.64557,Morning,-1
AGG. ASSAULT,Outside,KNIFE,39.30528,-76.64557,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.31632,-76.54332,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.31558,-76.65514,Morning,44
AGG. ASSAULT,Outside,KNIFE,39.31558,-76.65514,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.31503,-76.63033,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28205,-76.63547,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.30598,-76.57909,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.30068,-76.62812,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.29154,-76.56367,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.28135,-76.69557,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.29553,-76.66213,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.30899,-76.64497,Afternoon,6
ROBBERY - RESIDENCE,Inside,FIREARM,39.34364,-76.66762,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.34179,-76.65943,Afternoon,7
AGG. ASSAULT,Inside,FIREARM,39.27355,-76.67137,Afternoon,-1
AGG. ASSAULT,Inside,OTHER,39.33754,-76.60346,Evening,18
COMMON ASSAULT,Inside,HANDS,39.34322,-76.67401,Evening,8
COMMON ASSAULT,Outside,HANDS,39.31005,-76.6434,Evening,11
COMMON ASSAULT,Inside,HANDS,39.34437,-76.54263,Evening,8
AGG. ASSAULT,Outside,OTHER,39.32167,-76.54835,Evening,57
COMMON ASSAULT,Inside,HANDS,39.31742,-76.57268,Evening,8
COMMON ASSAULT,Inside,HANDS,39.31742,-76.57268,Evening,8
AGG. ASSAULT,Outside,OTHER,39.28646,-76.59349,Evening,10
AGG. ASSAULT,Inside,KNIFE,39.29927,-76.62481,Evening,12
COMMON ASSAULT,Inside,HANDS,39.31353,-76.66962,Evening,8
AGG. ASSAULT,Inside,FIREARM,39.33245,-76.59365,Evening,-1
AGG. ASSAULT,Inside,OTHER,39.26942,-76.61428,Evening,18
ROBBERY - STREET,Outside,FIREARM,39.29367,-76.56835,Night,2
AGG. ASSAULT,Outside,OTHER,39.31007,-76.66962,Night,-1
COMMON ASSAULT,Outside,HANDS,39.27369,-76.61148,Night,26
AGG. ASSAULT,Outside,OTHER,39.28981,-76.60882,Night,3
COMMON ASSAULT,Outside,HANDS,39.35274,-76.60679,Night,26
COMMON ASSAULT,Outside,HANDS,39.3165,-76.57681,Night,26
AGG. ASSAULT,Outside,KNIFE,39.29072,-76.57183,Night,4
COMMON ASSAULT,Inside,HANDS,39.25559,-76.64265,Night,0
ROBBERY - STREET,Outside,FIREARM,39.31143,-76.61083,Night,2
COMMON ASSAULT,Inside,HANDS,39.29459,-76.59708,Night,0
AGG. ASSAULT,Inside,KNIFE,39.29068,-76.64537,Night,36
AGG. ASSAULT,Inside,HANDS,39.28869,-76.60788,Night,60
COMMON ASSAULT,Inside,HANDS,39.2741,-76.66418,Night,0
COMMON ASSAULT,Outside,HANDS,39.30428,-76.63568,Night,26
RAPE,Outside,OTHER,39.33721,-76.60955,Night,-1
COMMON ASSAULT,Inside,HANDS,39.28348,-76.59508,Night,0
COMMON ASSAULT,Inside,HANDS,39.29439,-76.64731,Morning,1
COMMON ASSAULT,Outside,HANDS,39.34612,-76.68806,Morning,13
AGG. ASSAULT,Inside,OTHER,39.28245,-76.68766,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.31089,-76.59001,Morning,1
COMMON ASSAULT,Inside,HANDS,39.3064,-76.60057,Morning,1
ROBBERY - COMMERCIAL,Inside,KNIFE,39.33776,-76.55211,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.2811,-76.63164,Morning,1
AGG. ASSAULT,Inside,OTHER,39.31225,-76.6357,Morning,15
COMMON ASSAULT,Inside,HANDS,39.33242,-76.66819,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.28505,-76.63861,Afternoon,23
COMMON ASSAULT,Outside,HANDS,39.35722,-76.6763,Afternoon,5
ROBBERY - STREET,Outside,FIREARM,39.31067,-76.59841,Afternoon,6
ROBBERY - CARJACKING,Outside,FIREARM,39.31067,-76.59841,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.29688,-76.61702,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.32283,-76.56435,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.32283,-76.56435,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.32283,-76.56435,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.28731,-76.6374,Evening,11
AGG. ASSAULT,Outside,OTHER,39.25123,-76.62475,Evening,10
ROBBERY - COMMERCIAL,Inside,FIREARM,39.3545,-76.53094,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.36952,-76.54649,Evening,11
ROBBERY - COMMERCIAL,Inside,FIREARM,39.34977,-76.69573,Evening,-1
ROBBERY - STREET,Outside,KNIFE,39.34676,-76.56614,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.3177,-76.69043,Evening,11
AGG. ASSAULT,Inside,KNIFE,39.28315,-76.7066,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.30671,-76.6419,Evening,8
AGG. ASSAULT,Inside,KNIFE,39.34896,-76.67741,Evening,12
AGG. ASSAULT,Outside,OTHER,39.23097,-76.60149,Evening,63
ROBBERY - CARJACKING,Outside,OTHER,39.32238,-76.54017,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.33194,-76.69729,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.33194,-76.69729,Evening,9
ROBBERY - STREET,Outside,OTHER,39.36845,-76.55486,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.30279,-76.60635,Evening,11
COMMON ASSAULT,Inside,HANDS,39.28991,-76.6516,Evening,8
AGG. ASSAULT,Outside,HANDS,39.27355,-76.67137,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.29257,-76.61251,Evening,8
COMMON ASSAULT,Inside,HANDS,39.33698,-76.65851,Evening,8
COMMON ASSAULT,Inside,HANDS,39.32156,-76.57372,Night,0
AGG. ASSAULT,Inside,KNIFE,39.30543,-76.64967,Night,36
AGG. ASSAULT,Inside,KNIFE,39.32716,-76.5596,Night,-1
COMMON ASSAULT,Inside,HANDS,39.27529,-76.69672,Night,0
COMMON ASSAULT,Outside,HANDS,39.28546,-76.59667,Night,26
COMMON ASSAULT,Inside,HANDS,39.32953,-76.68531,Night,0
AGG. ASSAULT,Inside,KNIFE,39.35461,-76.69502,Night,-1
AGG. ASSAULT,Inside,KNIFE,39.3423,-76.60459,Night,-1
COMMON ASSAULT,Inside,HANDS,39.3423,-76.60459,Night,0
COMMON ASSAULT,Inside,HANDS,39.31962,-76.61189,Night,0
AGG. ASSAULT,Outside,FIREARM,39.25137,-76.61498,Night,-1
COMMON ASSAULT,Outside,HANDS,39.23858,-76.6096,Morning,58
COMMON ASSAULT,Outside,HANDS,39.29511,-76.61594,Morning,13
COMMON ASSAULT,Inside,HANDS,39.28209,-76.62984,Morning,1
AGG. ASSAULT,Inside,OTHER,39.35449,-76.55607,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.28632,-76.60344,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.36926,-76.56314,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.24571,-76.62865,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.24571,-76.62865,Afternoon,5
RAPE,Outside,OTHER,39.31566,-76.62904,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.24988,-76.63118,Evening,8
COMMON ASSAULT,Inside,HANDS,39.35448,-76.66237,Evening,8
AGG. ASSAULT,Outside,OTHER,39.28855,-76.61216,Evening,10
COMMON ASSAULT,Inside,HANDS,39.33028,-76.64759,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.28123,-76.62735,Evening,17
AGG. ASSAULT,Inside,HANDS,39.33128,-76.65836,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.35163,-76.67671,Evening,11
COMMON ASSAULT,Inside,HANDS,39.2894,-76.60669,Evening,8
AGG. ASSAULT,Outside,FIREARM,39.28898,-76.67413,Night,33
COMMON ASSAULT,Inside,HANDS,39.32485,-76.53337,Night,0
ROBBERY - STREET,Outside,FIREARM,39.29008,-76.6048,Night,2
ROBBERY - STREET,Outside,FIREARM,39.29008,-76.6048,Night,2
COMMON ASSAULT,Outside,HANDS,39.34906,-76.67615,Night,26
COMMON ASSAULT,Outside,HANDS,39.34415,-76.6798,Night,26
COMMON ASSAULT,Outside,HANDS,39.2894,-76.60669,Night,26
COMMON ASSAULT,Inside,HANDS,39.30566,-76.58638,Night,0
AGG. ASSAULT,Outside,FIREARM,39.30417,-76.57983,Night,33
COMMON ASSAULT,Inside,HANDS,39.28976,-76.61015,Night,0
COMMON ASSAULT,Outside,HANDS,39.35375,-76.60778,Night,26
COMMON ASSAULT,Outside,HANDS,39.35375,-76.60778,Night,26
AGG. ASSAULT,Outside,HANDS,39.32643,-76.68264,Night,-1
COMMON ASSAULT,Inside,HANDS,39.31318,-76.61877,Morning,1
COMMON ASSAULT,Outside,HANDS,39.33954,-76.66669,Morning,13
ROBBERY - STREET,Outside,KNIFE,39.29834,-76.59918,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.22817,-76.59935,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.30752,-76.634,Morning,1
COMMON ASSAULT,Inside,HANDS,39.32995,-76.60831,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.31009,-76.67422,Afternoon,6
