Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,Review Score,MaxPlayers,Online,Multiplatform,SubGenres,AgeRating
Nintendo DS,Clubhouse Games,0.61,2005,Nintendo,Strategy,0,0,17.95,83,1,1,0,Strategy|Boardgame|Cards|Casino|Chess|Puzzle,E
Sony PSP,ATV Offroad Fury: Blazin' Trails,0.56,2005,Sony,"Racing / Driving, Sports",0,0,12.95,63,4,1,0,Racing|Sports|OffRoad|Tricks|ThirdPerson,E
Sony PSP,Untold Legends: Brotherhood of the Blade,0.56,2005,Activision,"Action, Role-Playing (RPG)",0,0,12.95,68,1,1,0,Action|RPG|MedievalFantasy|Isometric|TopDown|ThirdPerson,T
Sony PSP,Tony Hawk's Underground 2: Remix,0.49,2005,Activision,Sports,1,0,14.95,83,1,1,0,Sports|Skateboarding|ThirdPerson,T
Sony PSP,The Sims 2,0.46,2005,EA,"Simulation, Strategy",1,0,14.95,65,1,1,1,Simulation|Strategy|Gameshow|Managerial|PersistentUniverse|Puzzle|RealTime|ThirdPerson,T
Sony PSP,WipEout Pure,0.45,2005,Sony,"Action, Racing / Driving",1,0,12.95,88,1,1,0,Action|Racing|SciFi|FirstPerson|ThirdPerson,E
Sony PSP,NBA Live 06,0.42,2005,EA,Sports,1,0,9.95,80,1,1,1,Sports|Basketball|ThirdPerson,E
Sony PSP,WWE Smackdown vs. Raw 2006,0.38,2005,THQ,"Action, Sports",1,0,14.95,81,4,0,1,Action|Sports|Wrestling|TopDown,T
X360,Dead or Alive 4,0.38,2005,"Tecmo, Inc.",Action,1,0,17.95,85,4,1,0,Action|Anime|Fighting|MartialArts|ThirdPerson,M
Nintendo DS,Phoenix Wright: Ace Attorney,0.38,2005,Capcom,"Adventure, Simulation",0,0,24.95,81,1,0,0,Adventure|Simulation|Anime|Detective|Puzzle|FirstPerson,T
Sony PSP,Spider-Man 2,0.38,2005,Activision,Action,1,0,14.95,67,1,0,0,Action|Comics|Fighting|Puzzle|RealTime|ThirdPerson,T
Sony PSP,NFL Street 2,0.37,2005,EA,Sports,1,0,17.95,73,4,1,0,Sports|AmericanFootball|Tricks|ThirdPerson,E
Nintendo DS,Kirby: Canvas Curse,0.37,2005,Nintendo,Action,1,0,17.95,86,1,0,0,Action|SideScrolling,E
X360,Battlefield 2: Modern Combat,0.36,2005,EA,Action,1,0,16.95,77,4,1,1,Action|Shooter|FirstPerson|ThirdPerson,T
